timestamp_et,session_date_et,session_time_et,open,high,low,close,volume,touched_dynamite_zone,touched_levels,first_touch_event,first_touch_levels,approach_directions
2026-03-25 10:15:00,2026-03-25,10:15:00,6605.96,6608.28,6601.09,6601.52,38631100,true,6600,false,,
2026-03-25 10:20:00,2026-03-25,10:20:00,6601.69,6610.72,6598.59,6598.63,40456910,true,6600,false,,
2026-03-25 10:25:00,2026-03-25,10:25:00,6599.63,6611.01,6599.12,6606.86,37471160,true,6600,false,,
2026-03-25 10:30:00,2026-03-25,10:30:00,6607.16,6612.74,6603.25,6612.6,31933320,false,,false,,
2026-03-25 10:35:00,2026-03-25,10:35:00,6612.6,6615.01,6605.57,6607.24,29681360,false,,false,,
2026-03-25 10:40:00,2026-03-25,10:40:00,6607.87,6614.98,6605.6,6611.39,30262770,false,,false,,
2026-03-25 10:45:00,2026-03-25,10:45:00,6611.04,6616.44,6610.31,6615.31,30174280,false,,false,,
2026-03-25 10:50:00,2026-03-25,10:50:00,6615.21,6617.83,6613.16,6613.3,29909680,false,,false,,
2026-03-25 10:55:00,2026-03-25,10:55:00,6613.49,6616.42,6611.12,6612.73,28713530,false,,false,,
2026-03-25 11:00:00,2026-03-25,11:00:00,6612.7,6615.3,6610.38,6613.48,26880270,false,,false,,
2026-03-25 11:05:00,2026-03-25,11:05:00,6613.61,6614.26,6597.91,6598.01,33468930,true,6600,true,6600,6600:from_above
2026-03-25 11:10:00,2026-03-25,11:10:00,6598.18,6600.59,6590.65,6591.09,37443100,true,6600,false,,
2026-03-25 11:15:00,2026-03-25,11:15:00,6591.18,6593.09,6568.41,6575.95,49002850,false,,false,,
2026-03-25 11:20:00,2026-03-25,11:20:00,6575.71,6598.02,6575.51,6595.22,35419040,true,6600,true,6600,6600:from_below
2026-03-25 11:25:00,2026-03-25,11:25:00,6595.16,6603.79,6593.47,6603.79,28419430,true,6600,false,,
2026-03-25 11:30:00,2026-03-25,11:30:00,6603.83,6607.59,6602.19,6605.16,25501410,false,,false,,
2026-03-25 11:35:00,2026-03-25,11:35:00,6605.22,6605.37,6592.72,6593.55,25616470,true,6600,true,6600,6600:from_above
2026-03-25 11:40:00,2026-03-25,11:40:00,6593.56,6595.59,6587.38,6592.51,24379670,false,,false,,
2026-03-25 11:45:00,2026-03-25,11:45:00,6592.59,6593.39,6588.96,6592.4,21404800,false,,false,,
2026-03-25 11:50:00,2026-03-25,11:50:00,6592.43,6595.69,6590.29,6592.98,23910870,false,,false,,
2026-03-25 11:55:00,2026-03-25,11:55:00,6592.98,6598.98,6590.66,6596.45,25100480,true,6600,true,6600,6600:from_below
2026-03-25 12:00:00,2026-03-25,12:00:00,6596.4,6596.88,6590.43,6590.72,22956940,false,,false,,
2026-03-25 12:05:00,2026-03-25,12:05:00,6590.72,6593.4,6586.5,6592.56,22083840,false,,false,,
2026-03-25 12:10:00,2026-03-25,12:10:00,6592.27,6592.33,6587.76,6591.5,20112030,false,,false,,
2026-03-25 12:15:00,2026-03-25,12:15:00,6591.61,6592.71,6587.49,6589.54,20683000,false,,false,,
2026-03-25 12:20:00,2026-03-25,12:20:00,6589.57,6596.74,6587.99,6595.07,23675950,false,,false,,
2026-03-25 12:25:00,2026-03-25,12:25:00,6599.5,6605.4,6598.66,6599.49,26885360,true,6600,true,6600,6600:from_below
2026-03-25 12:30:00,2026-03-25,12:30:00,6599.88,6608.49,6596.98,6606.56,24241430,true,6600,false,,
2026-03-25 12:35:00,2026-03-25,12:35:00,6606.57,6608.27,6604.04,6606.51,18302290,false,,false,,
2026-03-25 12:40:00,2026-03-25,12:40:00,6606.58,6607.4,6603.24,6606.08,17724590,false,,false,,
2026-03-25 12:45:00,2026-03-25,12:45:00,6605.86,6606.32,6600.96,6601.96,18360190,true,6600,true,6600,6600:from_above
2026-03-25 12:50:00,2026-03-25,12:50:00,6602.07,6606.54,6597.68,6606.16,17559590,true,6600,false,,
2026-03-25 12:55:00,2026-03-25,12:55:00,6606.24,6606.83,6601.53,6603,15520730,true,6600,false,,
2026-03-25 13:00:00,2026-03-25,13:00:00,6603.03,6607.54,6600.14,6601.67,25642930,true,6600,false,,
2026-03-25 13:05:00,2026-03-25,13:05:00,6601.44,6601.56,6596.16,6596.38,18252230,true,6600,false,,
2026-03-25 13:10:00,2026-03-25,13:10:00,6596.14,6602.95,6595.45,6602.16,18903270,true,6600,false,,
2026-03-25 13:15:00,2026-03-25,13:15:00,6602.04,6602.04,6595.78,6598.65,21024530,true,6600,false,,
2026-03-25 13:20:00,2026-03-25,13:20:00,6598.78,6605.3,6598.16,6602,17037230,true,6600,false,,
2026-03-25 13:25:00,2026-03-25,13:25:00,6602.1,6608.41,6602.07,6606.45,17840970,false,,false,,
2026-03-25 13:30:00,2026-03-25,13:30:00,6606.42,6607.82,6601.97,6607.55,20005350,true,6600,true,6600,6600:from_above
2026-03-25 13:35:00,2026-03-25,13:35:00,6607.56,6612.55,6607.56,6612.22,20273700,false,,false,,
2026-03-25 13:40:00,2026-03-25,13:40:00,6612.34,6618.53,6610.08,6613.92,23686810,false,,false,,
2026-03-25 13:45:00,2026-03-25,13:45:00,6613.95,6614.09,6606.9,6607.06,21032440,false,,false,,
2026-03-25 13:50:00,2026-03-25,13:50:00,6607,6609.27,6599.86,6600.57,21313000,true,6600,true,6600,6600:from_above
2026-03-25 13:55:00,2026-03-25,13:55:00,6600.42,6612.19,6599.65,6604.94,21758850,true,6600,false,,
2026-03-25 14:00:00,2026-03-25,14:00:00,6604.82,6605.75,6602.04,6604.15,19539280,false,,false,,
2026-03-25 14:05:00,2026-03-25,14:05:00,6604.15,6607.7,6601.48,6603.96,18189790,true,6600,true,6600,6600:from_above
2026-03-25 14:10:00,2026-03-25,14:10:00,6603.97,6606.5,6603.45,6605.22,17482920,false,,false,,
2026-03-25 14:15:00,2026-03-25,14:15:00,6605.34,6610.17,6604.79,6605.08,19758350,false,,false,,
2026-03-25 14:20:00,2026-03-25,14:20:00,6605.06,6607.68,6604.42,6605.61,19266850,false,,false,,
2026-03-25 14:25:00,2026-03-25,14:25:00,6605.69,6606.18,6600.43,6600.67,21211020,true,6600,true,6600,6600:from_above
2026-03-25 14:30:00,2026-03-25,14:30:00,6600.76,6603.64,6600.51,6602.48,22043050,true,6600,false,,
2026-03-25 14:35:00,2026-03-25,14:35:00,6602.41,6602.52,6600.32,6601.82,20237880,true,6600,false,,
2026-03-25 14:40:00,2026-03-25,14:40:00,6601.86,6602.36,6597.16,6599.6,20334030,true,6600,false,,
2026-03-25 14:45:00,2026-03-25,14:45:00,6599.6,6599.6,6596.63,6596.69,18823810,true,6600,false,,
2026-03-25 14:50:00,2026-03-25,14:50:00,6596.87,6598.04,6595.8,6597.41,21391570,true,6600,false,,
2026-03-25 14:55:00,2026-03-25,14:55:00,6597.4,6597.4,6583.49,6590.83,32355290,false,,false,,
2026-03-25 15:00:00,2026-03-25,15:00:00,6590.76,6590.76,6581.85,6586.28,27683940,false,,false,,
